"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000114455.16","ENSG00000114455","HHLA2",3827.87089370944,-2.76406707798899,0.715976473665564,-3.86055573004778,0.000113129433784477,0.0179432709434996,"down_in_tumor"
"ENSG00000239855.1","ENSG00000239855","IGKV1-6",850.723998170988,-2.7941498637701,0.725067284866848,-3.85364216823438,0.000116373638935517,0.0183052848748734,"down_in_tumor"
"ENSG00000125148.8","ENSG00000125148","MT2A",2541.0037575719,-2.5580185384471,0.666176343986568,-3.83985195742507,0.000123108524015265,0.0183056604498636,"down_in_tumor"
"ENSG00000170419.11","ENSG00000170419","VSTM2A",163.156976620733,-2.80356969413929,0.730040969480122,-3.8402909033116,0.000122888603567103,0.0183056604498636,"down_in_tumor"
"ENSG00000174992.9","ENSG00000174992","ZG16",18575.8444238297,-2.6626717235569,0.692184295717362,-3.84676702437661,0.000119686678295805,0.0183056604498636,"down_in_tumor"
"ENSG00000211625.2","ENSG00000211625","IGKV3D-20",744.478833540176,-3.00632046485064,0.782217826412849,-3.84332901058679,0.000121376575167973,0.0183056604498636,"down_in_tumor"
"ENSG00000211937.3","ENSG00000211937","IGHV2-5",1253.49558047355,-2.4412853719705,0.635469204120992,-3.84170524100754,0.00012218250939378,0.0183056604498636,"down_in_tumor"
"ENSG00000243238.1","ENSG00000243238","IGKV2-30",4981.47971864041,-2.62082970570518,0.680824675752674,-3.84949282692753,0.000118362649591067,0.0183056604498636,"down_in_tumor"
"ENSG00000290851.2","ENSG00000290851","",495.471203400675,-2.82795694151242,0.736260936641538,-3.84097104813433,0.000122548569164833,0.0183056604498636,"down_in_tumor"
"ENSG00000205358.5","ENSG00000205358","MT1H",340.226206810056,-3.39171972548903,0.884003339348213,-3.8367725262099,0.000124661842855446,0.0183197095676194,"down_in_tumor"
"ENSG00000211895.5","ENSG00000211895","IGHA1",51996.5115858635,-2.56574171894752,0.669950192964587,-3.82974995140146,0.000128273534041524,0.0184956831319116,"down_in_tumor"
"ENSG00000226777.10","ENSG00000226777","FAM30A",181.688183458035,-2.43332618375126,0.637429308717916,-3.81740555457905,0.000134862386802509,0.0189696689842461,"down_in_tumor"
"ENSG00000242076.3","ENSG00000242076","IGKV1-33",3958.14098515784,-2.46975196790488,0.647788820214785,-3.8125881318637,0.000137519168905498,0.0191051265823237,"down_in_tumor"
"ENSG00000127129.11","ENSG00000127129","EDN2",114.372921587261,-3.110252586853,0.818937689638037,-3.7979111551548,0.000145920604060576,0.0192711734036185,"down_in_tumor"
"ENSG00000177201.3","ENSG00000177201","OR2T12",108.048461875164,-3.08236571937131,0.811918761027373,-3.79639671766051,0.00014681448765432,0.0192711734036185,"down_in_tumor"
"ENSG00000211679.2","ENSG00000211679","IGLC3",6975.50771009527,-2.50410592996048,0.659237608879392,-3.79848767156519,0.00014558166900068,0.0192711734036185,"down_in_tumor"
"ENSG00000241755.1","ENSG00000241755","IGKV1-9",1867.76002492777,-2.51458720175343,0.660650396812182,-3.80622976068281,0.000141101309911107,0.0192711734036185,"down_in_tumor"
"ENSG00000254709.8","ENSG00000254709","IGLL5",3203.00202483475,-2.49361916407555,0.656379661411179,-3.79905001735491,0.000145251779193401,0.0192711734036185,"down_in_tumor"
"ENSG00000282122.1","ENSG00000282122","IGHV7-4-1",877.124542353049,-2.54746801448733,0.6689950669529,-3.80790253968597,0.000140150484216068,0.0192711734036185,"down_in_tumor"
"ENSG00000244437.1","ENSG00000244437","IGKV3-15",5286.22389743465,-2.43700919382439,0.643972332872981,-3.78433834719584,0.000154118040752876,0.0200912922578732,"down_in_tumor"
"ENSG00000289700.1","ENSG00000289700","",27.3489908179918,-5.53861959385687,1.46727128809442,-3.77477542074036,0.000160151878328333,0.020735855103559,"down_in_tumor"
"ENSG00000064205.12","ENSG00000064205","CCN5",207.535027406215,-2.97993431133699,0.791453208328426,-3.7651427525712,0.000166453956869588,0.0207720766443967,"down_in_tumor"
"ENSG00000242265.6","ENSG00000242265","PEG10",96.5009527132247,-2.26026388446863,0.600698487474823,-3.7627261123466,0.000168071234342305,0.0207720766443967,"down_in_tumor"
"ENSG00000162896.7","ENSG00000162896","PIGR",136923.468553338,-2.37952855075386,0.634543472563634,-3.74998507374171,0.000176845096564652,0.0213578770872343,"down_in_tumor"
"ENSG00000163295.5","ENSG00000163295","ALPI",327.905193855947,-2.87780345555021,0.768925090671911,-3.74263174717773,0.000182103002018002,0.0214376871759261,"down_in_tumor"
"ENSG00000231758.4","ENSG00000231758","",46.1276975787783,-4.0830054378391,1.0915425363209,-3.74058298415111,0.000183593916338778,0.0214376871759261,"down_in_tumor"
"ENSG00000253958.2","ENSG00000253958","CLDN23",1347.86898085002,-2.54363511504168,0.679969202142408,-3.74080929993203,0.000183428661059533,0.0214376871759261,"down_in_tumor"
"ENSG00000125775.16","ENSG00000125775","SDCBP2",3930.05943844305,-2.32742834429585,0.623768073669296,-3.73123993122127,0.00019053964512876,0.0217158147648844,"down_in_tumor"
"ENSG00000168447.12","ENSG00000168447","SCNN1B",989.853712255353,-2.52976586995983,0.677780023887286,-3.73242907846532,0.000189642101231485,0.0217158147648844,"down_in_tumor"
"ENSG00000211941.3","ENSG00000211941","IGHV3-11",1906.65698107953,-2.56366550614998,0.687009023022461,-3.73163294838729,0.000190242563083388,0.0217158147648844,"down_in_tumor"
"ENSG00000183778.20","ENSG00000183778","B3GALT5",3657.74744496627,-2.52196431481496,0.676497380286691,-3.7279735122495,0.000193025659528414,0.0217388010520965,"down_in_tumor"
"ENSG00000244116.3","ENSG00000244116","IGKV2-28",7079.85631238323,-2.50028009301436,0.670497532970448,-3.72899223348008,0.000192247076496525,0.0217388010520965,"down_in_tumor"
"ENSG00000179520.12","ENSG00000179520","SLC17A8",35.5631202992705,-4.05707241318608,1.08917568133769,-3.72490176075481,0.000195391298542344,0.0218418812007539,"down_in_tumor"
"ENSG00000301249.1","ENSG00000301249","",104.020938345268,-3.17425472920707,0.852420491354899,-3.72381326047392,0.000196236099686278,0.0218418812007539,"down_in_tumor"
"ENSG00000166825.16","ENSG00000166825","ANPEP",28185.1310527463,-2.52333733079677,0.677982229476672,-3.72183402615804,0.000197781013533441,0.0218858490150115,"down_in_tumor"
"ENSG00000211673.2","ENSG00000211673","",1851.50631431228,-2.43047206307017,0.653732455174837,-3.71783906983806,0.000200934198796183,0.0221062462756517,"down_in_tumor"
"ENSG00000211637.2","ENSG00000211637","IGLV4-69",1508.94360964969,-2.56542608203558,0.690380219090026,-3.71596116328045,0.00020243267719788,0.022143110029352,"down_in_tumor"
"ENSG00000280411.1","ENSG00000280411","IGHV1-69D",1952.41720253582,-2.48056324903822,0.668083993810032,-3.71295117383633,0.000204856420138614,0.0221851265985185,"down_in_tumor"
"ENSG00000137634.11","ENSG00000137634","NXPE4",3606.20105501179,-2.43626157836194,0.656651276643567,-3.71012996550428,0.00020715287539844,0.0221866961204303,"down_in_tumor"
"ENSG00000196091.16","ENSG00000196091","MYBPC1",68.2160214968546,-4.27392189560137,1.15208948284618,-3.70971348947901,0.000207493926834266,0.0221866961204303,"down_in_tumor"
"ENSG00000143196.6","ENSG00000143196","DPT",1202.63018200003,-2.54911759273131,0.690882276735994,-3.68965550075241,0.000224557934576275,0.0237445064932791,"down_in_tumor"
"ENSG00000211942.3","ENSG00000211942","IGHV3-13",627.155270527713,-2.52583612284422,0.68504335434041,-3.68711864269701,0.00022680762820068,0.0238498872239975,"down_in_tumor"
"ENSG00000111846.21","ENSG00000111846","GCNT2",329.228385428178,-2.42851696058887,0.663115706851646,-3.66228236715886,0.000249978099097644,0.0245031127362045,"down_in_tumor"
"ENSG00000152580.10","ENSG00000152580","IGSF10",216.847749509749,-3.12805251341781,0.853134401116706,-3.66654129680313,0.00024585323054492,0.0245031127362045,"down_in_tumor"
